direction,modern_section,modern_title,legacy_section,legacy_title,score,reason
companies_2013_to_1956,102,Statement to be annexed to notice. —(1) A statement setting out the following material facts,173,EXPLANATORY STATEMENT TO BE ANNEXED TO NOTICE,4.125,"shared_keywords=['annexed', 'notice', 'statement']; title_jaccard=0.38"
companies_1956_to_2013,102,Statement to be annexed to notice. —(1) A statement setting out the following material facts,173,EXPLANATORY STATEMENT TO BE ANNEXED TO NOTICE,4.125,"shared_keywords=['annexed', 'notice', 'statement']; title_jaccard=0.38"
companies_2013_to_1956,405,Power of Central Government to direct companies to furnish information or statistics.—(1),108D,POWER OF CENTRAL GOVERNMENT TO DIRECT COMPANIES NOT TO GIVE EFFECT TO THE,4.125,"shared_keywords=['central', 'direct', 'government']; title_jaccard=0.38"
companies_1956_to_2013,405,Power of Central Government to direct companies to furnish information or statistics.—(1),108D,POWER OF CENTRAL GOVERNMENT TO DIRECT COMPANIES NOT TO GIVE EFFECT TO THE,4.125,"shared_keywords=['central', 'direct', 'government']; title_jaccard=0.38"
companies_2013_to_1956,27,"Variation in terms of contract or objects in prospectus.—(1) A company shall not, at any time,",61,"TERMS OF CONTRACT MENTIONED IN PROSPECTUS OR STATEMENT IN LIEU OF PROSPECTUS, NOT",4.000,"shared_keywords=['contract', 'prospectus', 'terms']; title_jaccard=0.33"
companies_1956_to_2013,27,"Variation in terms of contract or objects in prospectus.—(1) A company shall not, at any time,",61,"TERMS OF CONTRACT MENTIONED IN PROSPECTUS OR STATEMENT IN LIEU OF PROSPECTUS, NOT",4.000,"shared_keywords=['contract', 'prospectus', 'terms']; title_jaccard=0.33"
companies_2013_to_1956,45,Numbering of shares.—Every share in a company having a share capital shall be distinguished by,159,ANNUAL RETURN TO BE MADE BY COMPANY HAVING A SHARE CAPITAL,4.000,"shared_keywords=['capital', 'having', 'share']; title_jaccard=0.33"
companies_1956_to_2013,45,Numbering of shares.—Every share in a company having a share capital shall be distinguished by,159,ANNUAL RETURN TO BE MADE BY COMPANY HAVING A SHARE CAPITAL,4.000,"shared_keywords=['capital', 'having', 'share']; title_jaccard=0.33"
companies_2013_to_1956,66,Reduction of share capital.—(1) Subject to confirmation by the Tribunal on an application by the,100,SPECIAL RESOLUTION FOR REDUCTION OF SHARE CAPITAL,4.000,"shared_keywords=['capital', 'reduction', 'share']; title_jaccard=0.33"
companies_1956_to_2013,66,Reduction of share capital.—(1) Subject to confirmation by the Tribunal on an application by the,100,SPECIAL RESOLUTION FOR REDUCTION OF SHARE CAPITAL,4.000,"shared_keywords=['capital', 'reduction', 'share']; title_jaccard=0.33"
companies_2013_to_1956,88,"Register of members, etc.—(1) Every company shall keep and maintain the following registers in",157,POWER FOR COMPANY TO KEEP FOREIGN REGISTER OF MEMBERS OR DEBENTURE HOLDERS,4.000,"shared_keywords=['keep', 'members', 'register']; title_jaccard=0.33"
companies_1956_to_2013,88,"Register of members, etc.—(1) Every company shall keep and maintain the following registers in",157,POWER FOR COMPANY TO KEEP FOREIGN REGISTER OF MEMBERS OR DEBENTURE HOLDERS,4.000,"shared_keywords=['keep', 'members', 'register']; title_jaccard=0.33"
companies_2013_to_1956,107,"Voting by show of hands.—(1) At any general meeting, a resolution put to the vote of the meeting",177,VOTING TO BE BY SHOW OF HANDS IN FIRST INSTANCE,4.000,"shared_keywords=['hands', 'show', 'voting']; title_jaccard=0.33"
companies_1956_to_2013,107,"Voting by show of hands.—(1) At any general meeting, a resolution put to the vote of the meeting",177,VOTING TO BE BY SHOW OF HANDS IN FIRST INSTANCE,4.000,"shared_keywords=['hands', 'show', 'voting']; title_jaccard=0.33"
